id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
211,24,972962,976795,991889,984019,986248,POSITIVE,MEDIUM,OTHER
212,24,1591410,1612868,1622383,1618687,1620474,POSITIVE,MEDIUM,OTHER
213,24,2200900,2208166,2219359,2213865,2217156,POSITIVE,MEDIUM,OTHER
214,24,2857829,2860854,2869621,2865236,2866957,NEUTRAL,MEDIUM,CONVERSATION
215,24,3457354,3473420,3483402,3479330,3481058,NEUTRAL,MEDIUM,OTHER
216,24,4071613,4085051,4094890,4090372,4093367,POSITIVE,LOW,VIEW_BOOTH
217,24,4767647,4771718,4782830,4777874,4780207,NEUTRAL,LOW,CONVERSATION
218,24,5385676,5432938,5443650,5439714,5441897,POSITIVE,MEDIUM,VIEW_BOOTH
219,24,6233622,0,0,0,0,NONE,NONE,NONE
220,24,6628946,6632140,6643607,6639370,6641237,POSITIVE,LOW,CONVERSATION
221,24,7474159,7489732,7496711,7493660,7494998,POSITIVE,HIGH,CONVERSATION
222,24,8131082,8135229,8142779,8139652,8141347,POSITIVE,MEDIUM,VIEW_BOOTH
223,24,8687266,8867182,8892807,8889186,8890950,NEUTRAL,LOW,VIEW_BOOTH
224,25,374839,415756,436542,427045,432265,POSITIVE,HIGH,WALKING
225,25,1158058,1162323,1171044,1166086,1168793,NEUTRAL,HIGH,CONVERSATION
226,25,1783694,1790040,1800330,1795452,1797988,POSITIVE,MEDIUM,WALKING
227,25,2456368,2466635,2473758,2470022,2471922,POSITIVE,MEDIUM,OTHER
228,25,3016822,3024054,3031747,3027717,3029548,POSITIVE,MEDIUM,OTHER
229,25,3705334,3720473,3728658,3724873,3726649,NEUTRAL,MEDIUM,OTHER
230,25,4236064,4261939,4268459,4265131,4266954,NEUTRAL,MEDIUM,CONVERSATION
231,25,5139002,5142634,5152593,5148598,5150577,NEGATIVE,MEDIUM,VIEW_BOOTH
232,25,5439118,5516441,5522658,5519443,5521127,POSITIVE,HIGH,CONVERSATION
233,25,6438209,6457298,6465349,6460240,6463427,NEGATIVE,LOW,CONVERSATION
234,25,6739006,6803282,6812301,6806965,6808351,NEGATIVE,LOW,OTHER
235,25,7675783,0,0,0,0,NONE,NONE,NONE
236,26,458915,0,0,0,0,NONE,NONE,NONE
237,26,1004099,1011612,1028117,1020592,1023931,POSITIVE,MEDIUM,WALKING
238,26,1756256,0,0,0,0,NONE,NONE,NONE
239,26,2232180,2250890,2260873,2255161,2257449,POSITIVE,MEDIUM,OTHER
240,26,3026162,0,0,0,0,NONE,NONE,NONE
241,26,3438317,3442612,3465619,3447877,3454150,NEUTRAL,MEDIUM,OTHER
242,26,4294900,0,0,0,0,NONE,NONE,NONE
243,26,4696764,0,0,0,0,NONE,NONE,NONE
244,26,5621885,0,0,0,0,NONE,NONE,NONE
245,26,5960595,5964255,5977394,5973014,5975368,POSITIVE,HIGH,CONVERSATION
246,27,536701,543426,572213,559651,565921,POSITIVE,MEDIUM,OTHER
247,27,1189638,1194293,1211103,1203143,1205334,NEUTRAL,MEDIUM,OTHER
248,27,1974812,1979228,1995853,1991659,1993797,NEUTRAL,MEDIUM,OTHER
249,27,2467550,2492439,2508884,2501964,2507068,NEUTRAL,LOW,OTHER
